tahun,bulan,tanggal,arus,salinitas,suhu,modal,total_produksi
2021,12,18,0.27,33,30,891072,2800
2022,1,18,0.49,33,28,646402,2302
2022,2,18,0.49,33,27,896380,2589
2022,3,18,0.49,33,29,702758,2589
2022,4,18,0.49,33,30,875347,3340
2022,5,18,0.49,33,29,941311,3340
2022,6,18,0.49,33,28,1094184,3340
2022,7,18,0.44,33,30,943797,3477
2022,8,18,0.44,33,30,976342,3477
2022,9,18,0.32,33,29,648725,2318
2022,10,18,0.32,33,29,687960,2450
2022,11,18,0.70,33,29,687960,2450
2022,12,18,0.80,33,30,786240,2800
